행정구역(읍면동),종사자수,사업체수,급여총액,매출액,영업이익,종사자당 사업체수,종사자당 급여총액,종사자당 매출액,종사자당 영업이익
봉황면,3500.0,1360.0,84668.0,670530.0,62338.0,0.38857142857142857,24.190857142857144,191.58,17.81085714285714
부산면,1077.0,190.0,27003.0,157278.0,13241.0,0.1764159702878366,25.07242339832869,146.033426183844,12.294336118848653
부주동,9557.0,2672.0,287333.0,1473427.0,108185.0,0.2795856440305535,30.065187820445747,154.17254368525687,11.319974887517004
부흥동,7063.0,3264.0,104706.0,822527.0,68013.0,0.46212657510972677,14.824578790882061,116.45575534475435,9.629477559110859
북이면,1793.0,576.0,36589.0,219501.0,-10877.0,0.32124930284439485,20.406581148912437,122.42108198549916,-6.0663692136084775
북일면,1577.0,620.0,35144.0,262359.0,18577.0,0.39315155358275206,22.285351934052,166.36588459099556,11.77996195307546
북평면,2218.0,662.0,28762.0,221293.0,39751.0,0.2984670874661858,12.967538322813345,99.77141568981064,17.92200180342651
북하면,2620.0,568.0,80982.0,236976.0,12542.0,0.216793893129771,30.909160305343512,90.44885496183205,4.7870229007633585
북항동,5720.0,1992.0,178955.0,751892.0,45697.0,0.34825174825174826,31.28583916083916,131.44965034965034,7.988986013986014
불갑면,555.0,170.0,13172.0,144280.0,8198.0,0.3063063063063063,23.733333333333334,259.963963963964,14.77117117117117
비금면,2002.0,874.0,29377.0,202042.0,39896.0,0.43656343656343655,14.673826173826173,100.92007992007991,19.92807192807193
빛가람동,41900.0,6650.0,1977982.0,19996768.0,2350420.0,0.15871121718377088,47.207207637231505,477.24983293556085,56.09594272076372
사평면,815.0,334.0,19448.0,97872.0,30359.0,0.4098159509202454,23.862576687116565,120.0883435582822,37.25030674846626
산동면,1442.0,642.0,33968.0,163259.0,14528.0,0.44521497919556174,23.55617198335645,113.21705963938973,10.0748959778086
산이면,1776.0,874.0,38977.0,497060.0,95274.0,0.49211711711711714,21.94650900900901,279.8761261261261,53.645270270270274
산정동,2264.0,916.0,46781.0,291679.0,26863.0,0.4045936395759717,20.66298586572438,128.83348056537102,11.865282685512367
산포면,5636.0,1270.0,158627.0,1135003.0,48727.0,0.22533711852377572,28.145315826827538,201.38449254790632,8.645670688431512
삼계면,3859.0,1166.0,114637.0,639261.0,71841.0,0.30215081627364604,29.70640062192278,165.65457372376264,18.616480953614925
삼기면,1602.0,586.0,19496.0,109258.0,16826.0,0.365792759051186,12.169787765293384,68.20099875156055,10.503121098626716
삼산동,19515.0,5118.0,562358.0,2695435.0,143863.0,0.2622598001537279,28.81670509864207,138.12118882910582,7.3719190366384835
삼산면,3374.0,1108.0,46656.0,285450.0,17186.0,0.32839359810314167,13.82809721398933,84.60284528749258,5.093657379964434
삼서면,1828.0,734.0,45784.0,399829.0,22126.0,0.40153172866520787,25.045951859956237,218.72483588621444,12.103938730853391
삼일동,70271.0,4678.0,4562883.0,123892386.0,6197589.0,0.066570847148895,64.93266069929274,1763.0656458567546,88.19554296936147
삼학동,7669.0,3680.0,89100.0,980149.0,55133.0,0.47985395749119836,11.618203155561352,127.80662407093493,7.189072890859304
